signal_i,entry_i,signal_time,session,style,direction,entry,stop,risk,target_r,range_ratio,excursion_atr,body_frac,entry_time,exit_time,gross_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
30858,30859,2026-03-10 08:55:00+00:00,LONDON,REVERSAL,-1,5183.075,5190.212633258702,7.137633258702408,2.0,0.8881088384795285,0.460222582758032,0.8032305433187465,2026-03-10 09:00:00+00:00,2026-03-10 10:30:00+00:00,2.0,1.9273838426248555,target,109.13729978878358,5.456864989439179,10.517473412030327,119.6547732008139
31119,31120,2026-03-11 07:40:00+00:00,LONDON,REVERSAL,1,5191.175,5183.583818586712,7.5911814132878135,2.0,0.5221730520385849,0.39373195219011403,0.6370967741935533,2026-03-11 07:45:00+00:00,2026-03-11 08:25:00+00:00,-1.0,-1.0683842832541615,stop,119.6547732008139,5.982738660040695,-6.39186395520454,113.26290924560936
31183,31184,2026-03-11 13:00:00+00:00,NEW_YORK,REVERSAL,1,5176.115,5160.715585950344,15.399414049656116,2.0,0.6415730740249243,1.6599784763456389,0.5864811133200377,2026-03-11 13:05:00+00:00,2026-03-11 13:45:00+00:00,-1.0,-1.0336124152731356,stop,113.26290924560936,5.663145462280468,-5.853497459310813,107.40941178629855
31438,31439,2026-03-12 11:15:00+00:00,LONDON,REVERSAL,-1,5174.055,5179.669183843164,5.614183843164028,2.0,0.7114822308170676,1.0133753072616978,0.8951612903224934,2026-03-12 11:20:00+00:00,2026-03-12 11:35:00+00:00,-1.0,-1.0921604127071838,stop,107.40941178629855,5.370470589314928,-5.865415375257983,101.54399641104057
31741,31742,2026-03-13 13:30:00+00:00,NEW_YORK,REVERSAL,-1,5101.765,5110.331371723272,8.566371723271914,2.0,1.1554326018418366,0.2670981246628649,0.726281352235529,2026-03-13 13:35:00+00:00,2026-03-13 13:40:00+00:00,-1.0,-1.059555727498262,stop,101.54399641104057,5.077199820552028,-5.379576149519051,96.16442026152151
31979,31980,2026-03-16 10:20:00+00:00,LONDON,REVERSAL,1,4984.155,4977.771267625392,6.383732374607462,2.0,0.7549730868242527,0.5008778643186208,0.7387387387387658,2026-03-16 10:25:00+00:00,2026-03-16 10:50:00+00:00,2.0,1.9219241235765858,target,96.16442026152151,4.808221013076076,9.241035956518761,105.40545621804027
32321,32322,2026-03-17 15:50:00+00:00,NEW_YORK,REVERSAL,1,4994.945,4989.362081236092,5.582918763907401,2.0,0.9004030762974572,0.1185690624263803,0.6578125000000431,2026-03-17 15:55:00+00:00,2026-03-17 17:00:00+00:00,2.0,1.9105316553718916,target,105.40545621804027,5.270272810902014,10.069023037674098,115.47447925571437
33348,33349,2026-03-23 09:25:00+00:00,LONDON,REVERSAL,1,4303.645,4283.603598952203,20.04140104779708,2.0,3.42075094867188,0.5617189538397844,0.9484792054623956,2026-03-23 09:30:00+00:00,2026-03-23 09:30:00+00:00,-1.0,-1.0214737731645416,stop,115.47447925571437,5.773723962785719,-5.897707601477258,109.57677165423712
33418,33419,2026-03-23 15:15:00+00:00,NEW_YORK,REVERSAL,-1,4440.885,4472.221775579417,31.336775579417008,2.0,8.38897386064375,0.20582224751641917,0.5814546072269364,2026-03-23 15:20:00+00:00,2026-03-23 15:55:00+00:00,2.0,1.9858285196294512,target,109.57677165423712,5.478838582711856,10.880033911995406,120.45680556623253
33664,33665,2026-03-24 12:45:00+00:00,NEW_YORK,REVERSAL,1,4382.895,4365.939426340178,16.95557365982222,2.0,1.5230054221533562,0.2715461953920269,0.7539639147074899,2026-03-24 12:50:00+00:00,2026-03-24 13:05:00+00:00,-1.0,-1.025849287602611,stop,120.45680556623253,6.022840278311627,-6.178526408850294,114.27827915738224
34187,34188,2026-03-26 10:20:00+00:00,LONDON,REVERSAL,1,4440.995,4429.594335477826,11.400664522174338,2.0,1.8790502520156673,0.6908526113139419,0.555944625407196,2026-03-26 10:25:00+00:00,2026-03-26 10:35:00+00:00,-1.0,-1.0389538258174533,stop,114.27827915738224,5.713913957869113,-5.936492766919861,108.34178639046239
34241,34242,2026-03-26 14:50:00+00:00,NEW_YORK,REVERSAL,-1,4449.175,4470.49031912744,21.31531912743958,2.0,0.9693461136945954,0.32207382666868156,0.6358056265984744,2026-03-26 14:55:00+00:00,2026-03-26 16:20:00+00:00,2.0,1.9791268665817323,target,108.34178639046239,5.41708931952312,10.72110701094116,119.06289340140356
34512,34513,2026-03-27 14:25:00+00:00,NEW_YORK,REVERSAL,-1,4454.728,4467.653997077354,12.925997077353713,2.0,1.1177754579102286,0.2351228177075456,0.6008370575299995,2026-03-27 14:30:00+00:00,2026-03-27 14:45:00+00:00,-1.0,-1.0344633220427124,stop,119.06289340140356,5.953144670070178,-6.158309812001663,112.9045835894019
