year,feed,entry_time,month,hour_utc,session,technique,direction,direction_text,net_r,gross_r,target_r,reason,h1_bias,h4_bias,h1_align_trade,h4_align_trade,both_align_trade,both_oppose_trade,htf_state,router_mode,h4_adx,h4_adx_band,m15_adx,m15_adx_band,range_atr,range_atr_band,atr
2024,secondary,2024-03-01 10:45:00+00:00,2024-03,10,LONDON,M15-0591 MTF,1,LONG,-1.0404685587838567,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,20.872485592936656,18-22,25.008256431997893,25+,1.8974053362939622,1.5+ ATR,2.2715230728815965
2024,secondary,2024-03-01 17:15:00+00:00,2024-03,17,OTHER,M15-0591 MTF,1,LONG,-0.5053313906376817,-0.4812711786738189,4.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,25.636388339888743,22-30,39.94477373601939,25+,1.2624252009165582,1.0-1.5 ATR,4.2061897973398565
2024,secondary,2024-03-04 06:15:00+00:00,2024-03,6,OTHER,V1 Legacy M15,1,LONG,1.9095142896202797,2.0,2.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,36.852621037141255,30+,15.103087589829377,15-20,1.2166137267857142,1.0-1.5 ATR,1.3151257172045059
2024,secondary,2024-03-04 13:45:00+00:00,2024-03,13,NEW_YORK,V1 Legacy M15,1,LONG,1.9478278568671819,2.0,2.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,40.93165092408931,30+,15.202569838255313,15-20,2.4441923373948864,1.5+ ATR,1.8615556273487648
2024,secondary,2024-03-04 14:45:00+00:00,2024-03,14,NEW_YORK,M15-0591 MTF,1,LONG,2.1562584496562436,2.1882557814062418,4.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,40.93165092408931,30+,28.571523607944492,25+,2.2842579402494994,1.5+ ATR,2.8455630537460377
2024,secondary,2024-03-05 05:00:00+00:00,2024-03,5,ASIA,V1 Legacy M15,1,LONG,1.944933832327412,2.0,2.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,50.16704289823517,30+,21.988727442831653,20-25,0.8575872483437129,0.6-1.0 ATR,1.7257719291633498
2024,secondary,2024-03-05 13:15:00+00:00,2024-03,13,NEW_YORK,V1 Legacy M15,1,LONG,-0.2581479082101042,-0.22512068534640667,3.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,53.53305370591963,30+,34.22727890833461,25+,1.5786067772091765,1.5+ ATR,2.6098963082396653
2024,secondary,2024-03-06 07:30:00+00:00,2024-03,7,LONDON,M15-0591 MTF,1,LONG,-1.0763434002388406,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,59.772448706282816,30+,14.075507032830934,<15,0.7550610099191564,0.6-1.0 ATR,1.5495436588957079
2024,secondary,2024-03-06 10:00:00+00:00,2024-03,10,LONDON,Outcome First M15,1,LONG,2.954378398516882,3.0,3.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,60.708881991216494,30+,14.806465844250825,<15,1.9901626201771887,1.5+ ATR,2.060133156171367
2024,secondary,2024-03-06 18:30:00+00:00,2024-03,18,OTHER,V1 Legacy M15,1,LONG,-1.0230711732351443,-1.0,3.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,62.87501316798411,30+,27.67032511715749,25+,1.123370036114246,1.0-1.5 ATR,4.121527058007435
2024,secondary,2024-03-06 21:45:00+00:00,2024-03,21,OTHER,V1 Legacy M15,1,LONG,1.950626820509507,2.0,2.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,64.11082948652731,30+,17.244108512845493,15-20,0.8681010020263155,0.6-1.0 ATR,3.0987177686940517
2024,secondary,2024-03-07 13:00:00+00:00,2024-03,13,NEW_YORK,Outcome First M15,1,LONG,-1.044716677000808,-1.0,3.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,68.65869074988002,30+,15.687140709854297,15-20,1.619550180578235,1.5+ ATR,2.3710287251665636
2024,secondary,2024-03-07 19:45:00+00:00,2024-03,19,OTHER,V1 Legacy M15,1,LONG,-1.05416566138638,-1.0,2.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,68.61307061882212,30+,8.943388237484264,<15,0.4744670494889499,<0.6 ATR,2.97175536534849
2024,secondary,2024-03-08 03:45:00+00:00,2024-03,3,ASIA,Structural Portfolio MTF,1,LONG,2.9459180812009387,3.0,3.0,target,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,68.59959860648908,30+,13.612109015017133,<15,1.1380444352879795,1.0-1.5 ATR,1.8979926732415078
2024,secondary,2024-03-08 16:45:00+00:00,2024-03,16,NEW_YORK,V1 Legacy M15,1,LONG,-0.06533942218559326,-0.04465022016812658,3.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,67.11561449407833,30+,32.17199800439259,25+,0.9148358645164009,0.6-1.0 ATR,4.962638847133405
2024,secondary,2024-03-11 10:00:00+00:00,2024-03,10,LONDON,Structural Portfolio MTF,1,LONG,-1.0445620117044545,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,70.22862955029406,30+,9.725322849455148,<15,0.9685506817254615,0.6-1.0 ATR,2.333383314514425
2024,secondary,2024-03-11 14:00:00+00:00,2024-03,14,NEW_YORK,Structural Portfolio MTF,1,LONG,-1.0293861805703333,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,70.64874506630936,30+,12.419848816771543,<15,1.6251143130527999,1.5+ ATR,2.9474849624589683
2024,secondary,2024-03-12 06:15:00+00:00,2024-03,6,OTHER,M15-0591 MTF,-1,SHORT,-1.082566814057112,-1.0,3.0,stop,0,1,False,False,False,False,NEUTRAL_MIX,MIXED,71.35279250641275,30+,20.72891484156162,20-25,0.9926139116647767,0.6-1.0 ATR,1.7630218350103135
