timestamp,open,high,low,close,volume
2020-03-24T23:40:00Z,1634.588,1634.948,1634.505,1634.508,0.0562
2020-03-24T23:45:00Z,1634.508,1634.508,1634.505,1634.508,0.0844
2020-03-24T23:50:00Z,1634.508,1639.18,1629.438,1630.558,0.1195
2020-03-24T23:55:00Z,1630.578,1634.38,1626.528,1630.105,0.2317
2020-03-25T00:00:00Z,1630.105,1631.658,1630.105,1631.205,0.0925
2020-03-25T00:05:00Z,1631.205,1631.705,1630.605,1630.705,0.047
2020-03-25T00:10:00Z,1630.745,1630.745,1628.978,1629.318,0.02
2020-03-25T00:15:00Z,1629.248,1631.248,1623.508,1626.358,0.1698
2020-03-25T00:20:00Z,1626.368,1629.185,1625.858,1629.175,0.1032
2020-03-25T00:25:00Z,1629.175,1629.395,1625.868,1628.305,0.1445
2020-03-25T00:30:00Z,1628.305,1629.445,1628.305,1629.405,0.0773
2020-03-25T00:35:00Z,1629.405,1629.645,1627.435,1627.845,0.3741
2020-03-25T00:40:00Z,1627.865,1629.645,1623.745,1626.076,0.1523
2020-03-25T00:45:00Z,1626.96,1629.785,1614.885,1627.971,0.3205
2020-03-25T00:50:00Z,1626.458,1627.94,1623.57,1624.828,0.2005
2020-03-25T00:55:00Z,1624.825,1626.168,1622.288,1622.85,0.1151
2020-03-25T01:00:00Z,1622.831,1627.428,1617.608,1625.445,0.2346
2020-03-25T01:05:00Z,1625.501,1626.383,1619.528,1622.058,0.1125
2020-03-25T01:10:00Z,1622.188,1622.298,1614.648,1617.388,0.0896
2020-03-25T01:15:00Z,1617.388,1617.388,1611.977,1615.498,0.0484
2020-03-25T01:20:00Z,1615.498,1616.238,1614.018,1614.848,0.0382
2020-03-25T01:25:00Z,1614.818,1618.718,1614.788,1618.468,0.1112
2020-03-25T01:30:00Z,1618.468,1618.478,1615.698,1617.418,0.1524
2020-03-25T01:35:00Z,1617.428,1617.708,1616.905,1617.378,0.04
2020-03-25T01:40:00Z,1617.298,1617.405,1614.508,1616.905,0.0878
2020-03-25T01:45:00Z,1616.905,1619.468,1616.905,1619.318,0.0629
2020-03-25T01:50:00Z,1619.428,1623.185,1619.138,1621.043,0.1689
2020-03-25T01:55:00Z,1621.06,1621.57,1616.45,1617.575,0.5283
2020-03-25T02:00:00Z,1617.585,1618.378,1615.928,1618.098,0.1632
2020-03-25T02:05:00Z,1618.098,1618.898,1616.148,1617.798,0.146
2020-03-25T02:10:00Z,1617.475,1620.148,1616.468,1618.848,0.1417
2020-03-25T02:15:00Z,1618.848,1618.948,1615.998,1616.428,0.0774
2020-03-25T02:20:00Z,1616.415,1617.298,1616.145,1616.915,0.0818
2020-03-25T02:25:00Z,1616.915,1618.565,1613.725,1613.825,0.1319
2020-03-25T02:30:00Z,1613.855,1617.348,1611.0,1614.398,0.4126
2020-03-25T02:35:00Z,1614.398,1615.248,1605.875,1607.498,0.3648
2020-03-25T02:40:00Z,1607.348,1611.848,1605.0,1608.715,0.2855
2020-03-25T02:45:00Z,1608.705,1611.408,1608.598,1609.885,0.3136
2020-03-25T02:50:00Z,1609.898,1610.948,1608.518,1610.348,0.2151
2020-03-25T02:55:00Z,1610.448,1612.598,1609.848,1611.778,0.1935
2020-03-25T03:00:00Z,1611.328,1616.848,1609.998,1613.875,0.182
2020-03-25T03:05:00Z,1613.865,1618.948,1613.028,1616.468,0.2483
